MP,Jurusan
Biologi,Komputer 
"Inggris, Seni, Biologi",MIPA
"Inggris, Kimia, Sejarah",MIPA
Matematika,Komputer 
Komputer,Komputer 
Olahraga,IPS
Olahraga,MIPA
"Matematika, Olahraga",MIPA
Matematika,Komputer 
Olahraga,Komputer 
Olahraga,Seni
Jepang,Seni
Olahraga,MIPA
Olahraga,MIPA
"Komputer, Seni",Komputer 
"Inggris, Komputer",Komputer 
Olahraga,Seni
Olahraga,Komputer 
"Matematika, Fisika, Komputer",Komputer 
Inggris ,IPS
"Fisika, Matematika, Kimia",MIPA
Olahraga,IPS
Olahraga,Seni
Sejarah,IPS
Matematika,MIPA
Biologi,IPS
Kewarganegaraan,IPS
Bahasa Inggris,Literatur
Matematika,IPS
"Kimia, Fisika",MIPA
Sosiologi,IPS
Matematika,MIPA
Inggris,Komputer 
Matematika,IPS
"Matematika, Kimia",MIPA
Sejarah,IPS
Matematika,IPS
Inggris,Komputer 
Matematika,Komputer 
Sosiologi,IPS
Ekonomi,Literatur
Kimia,MIPA
"Komputer, Fisika, Seni",MIPA
Matematika,Komputer 
Matematika,MIPA
Mandarin,IPS
Biologi,Seni
Matematika,IPS
"Fisika, Matematika",Komputer 
"Inggris, Matematika, Kimia",Komputer 
Biologi,IPS
Agama,Agama
Biologi,MIPA
Biologi,MIPA
Fisika,MIPA
Akuntansi ,IPS
"Matematika, Kimia",Komputer 
Matematika Olahraga Fisika,Komputer 
Matematika,IPS
"Matematika, Fisika, Inggris",Literatur
Sejarah,IPS
Olahraga,IPS
Olahraga,Seni
Inggris,MIPA
"Matematika, Inggris, Mandarin",IPS
Akuntansi,IPS
Mandarin,Komputer 
Matematika,IPS
Matematika,IPS
Biologi,Komputer 
Geografi,IPS
Matematika,IPS
Sejarah,IPS
Matematika,MIPA
Matematika,MIPA
"Seni, Inggris",Seni
Fisika,MIPA
Matematika,IPS
"Matematika, Fisika, Kimia, Biologi, Akuntansi",IPS
Matematika ,MIPA
Inggris,IPS
Mandarin,Seni
Matematika,IPS
"Matematika, Fisika, Komputer",MIPA
Matematika,MIPA
Olahraga,IPS
"Biologi, Fisika, Matematika, Kimia, Olahraga, Agama, Seni, Komputer, Indonesia, Mandarin",Seni
Inggris,Komputer 
Matematika,MIPA
Fisika,MIPA
"Biologi, Ekonomi",MIPA
"Olahraga, Inggris",Komputer 
Mandarin,IPS
Biologi,MIPA
Matematika,Komputer 
Biologi,Komputer 
Inggris,MIPA
Matematika,IPS
Seni,Seni
"Kimia, Inggris, Biologi",MIPA
Inggris,IPS
Matematika,IPS
Matematika ,Seni
Inggris,MIPA
Ekonomi,IPS
"Mandarin, Matematika, Biologi",Literatur
Inggris,Literatur
Kimia,MIPA
Akuntansi,IPS
"Inggris, Seni Budaya, Jerman, Geografi",Seni
"Matematika, Fisika",Komputer 
"Inggris, Indonesia, Kimia, Kewarganegaraan",MIPA
"Inggris, Kimia",MIPA
Matematika,Komputer 
Komputer,Komputer 
Olahraga,IPS
Matematika,MIPA
"Matematika, Fisika",MIPA
Matematika,Komputer 
"Inggris, Matematika",Komputer 
Fisika,Seni
Jepang,Seni
Olahraga,MIPA
Inggris,MIPA
"Komputer, Seni",Komputer 
Inggris,Komputer 
"Sejarah, Olahraga",Seni
Inggris,Komputer 
"Matematika, Fisika",Komputer 
"Inggris , Sejarah",IPS
"Fisika, Matematika",MIPA
Matematika,IPS
"Olahraga, Geografi",Seni
Sejarah,IPS
"Matematika, Olahraga",MIPA
"Olahraga, Biologi",IPS
Indonesia,IPS
Inggris,Literatur
Agama,IPS
"Kimia, Fisika",MIPA
Sosiologi ,IPS
Matematika,MIPA
Inggris,Komputer 
Matematika,IPS
"Matematika, Kimia",MIPA
Inggris,IPS
Akuntansi,IPS
Inggris,Komputer 
Inggris,Komputer 
Inggris,IPS
Ekonomi,Literatur
Kimia,MIPA
Komputer,MIPA
Matematika,Komputer 
Matematika,MIPA
Mandarin,IPS
Kimia,Seni
Matematika,IPS
"Matematika, Fisika",Komputer 
"Inggris, Matematika, Kimia",Komputer 
Biologi,IPS
Agama,Agama
Biologi,MIPA
Seni,MIPA
Fisika,MIPA
Sosiologi ,IPS
"Matematika, Kimia",Komputer 
Matematika Fisika Olahraga,Komputer 
Matematika,IPS
"Matematika, Fisika, Inggris",Literatur
"Sejarah, Kewarganegaraan, Inggris",IPS
Inggris,IPS
Olahraga,Seni
Inggris,MIPA
"Matematika, Inggris",IPS
Akuntansi,IPS
Indonesia,Komputer 
Matematika,IPS
Matematika,IPS
Biologi,Komputer 
Matematika,IPS
Matematika,IPS
Matematika,IPS
Matematika,MIPA
Matematika,MIPA
"Seni, Inggris",Seni
Kimia,MIPA
Matematika,IPS
"Matematika, Akuntansi",IPS
Matematika ,MIPA
"Fisika, Biologi, Kimia",IPS
Mandarin,Seni
Matematika,IPS
"Mate, Fisika, Komputer",MIPA
Matematika,MIPA
Olahraga,IPS
"Seni, Agama, Ekonomi",Seni
Inggris,Komputer 
Fisika,MIPA
Fisika,MIPA
Fisika,MIPA
Inggris,Komputer 
Mandarin,IPS
Biologi,MIPA
"Mate, Inggris",Komputer 
Biologi,Komputer 
"Inggris, Geografi",MIPA
Matematika,IPS
Seni,Seni
"Kimia, Inggris, Biologi",MIPA
Inggris,IPS
Matematika,IPS
Seni,Seni
Mandarin,MIPA
Inggris,IPS
"Mandarin, Matematika",Literatur
Inggris,Literatur
Matematika,MIPA
Akuntansi,IPS
"Inggris, Seni",Seni
"Inggris, Jepang, Mandarin, Indonesia",Literatur
"Matematika, Biologi, Fisika, Kimia",MIPA
"Sosiologi, Ekonomi, Sejarah, Akuntansi, Geografi, Kewarganegaraan",IPS
"Seni Lukis, Seni Tari, Seni",Seni
"Agama Islam, Agama Kristen, ",Agama
"Matematika, Komputer",Komputer 
