MP,Jurusan
"Biologi, Matematika, Fisika",Komputer 
"Inggris, Seni, Biologi, Inggris, Indonesia, Kimia, Kewarganegaraan",MIPA
"Inggris, Kimia, Sejarah, Inggris, Kimia",MIPA
"Matematika, Matematika",Komputer 
"Komputer, Komputer",Komputer 
"Olahraga, Olahraga",IPS
"Olahraga, Matematika",MIPA
"Matematika, Olahraga, Matematika, Fisika",MIPA
"Matematika, Matematika",Komputer 
"Olahraga, Inggris, Matematika",Komputer 
"Olahraga, Fisika",Seni
"Jepang, Jepang",Seni
"Olahraga, Olahraga",MIPA
"Olahraga, Inggris",MIPA
"Komputer, Seni, Komputer, Seni",Komputer 
"Inggris, Komputer, Inggris",Komputer 
"Olahraga, Sejarah, Olahraga",Seni
"Olahraga, Inggris",Komputer 
"Matematika, Fisika, Komputer, Matematika, Fisika",Komputer 
"Inggris , Inggris , Sejarah",IPS
"Fisika, Matematika, Kimia, Fisika, Matematika",MIPA
"Olahraga, Matematika",IPS
"Olahraga, Olahraga, Geografi",Seni
"Sejarah, Sejarah",IPS
"Matematika, Matematika, Olahraga",MIPA
"Biologi, Olahraga, Biologi",IPS
"Kewarganegaraan, Indonesia",IPS
"Bahasa Inggris, Inggris",Literatur
"Matematika, Agama",IPS
"Kimia, Fisika, Kimia, Fisika",MIPA
"Sosiologi, Sosiologi ",IPS
"Matematika, Matematika",MIPA
"Inggris, Inggris",Komputer 
"Matematika, Matematika",IPS
"Matematika, Kimia, Matematika, Kimia",MIPA
"Sejarah, Inggris",IPS
"Matematika, Akuntansi",IPS
"Inggris, Inggris",Komputer 
"Matematika, Inggris",Komputer 
"Sosiologi, Inggris",IPS
"Ekonomi, Ekonomi",Literatur
"Kimia, Kimia",MIPA
"Komputer, Fisika, Seni, Komputer",MIPA
"Matematika, Matematika",Komputer 
"Matematika, Matematika",MIPA
"Mandarin, Mandarin",IPS
"Biologi, Kimia",Seni
"Matematika, Matematika",IPS
"Fisika, Matematika, Matematika, Fisika",Komputer 
"Inggris, Matematika, Kimia, Inggris, Matematika, Kimia",Komputer 
"Biologi, Biologi",IPS
"Agama, Agama",Agama
"Biologi, Biologi",MIPA
"Biologi, Seni",MIPA
"Fisika, Fisika",MIPA
"Akuntansi , Sosiologi ",IPS
"Matematika, Kimia, Matematika, Kimia",Komputer 
"Matematika Olahraga Fisika, Matematika Fisika Olahraga",Komputer 
"Matematika, Matematika",IPS
"Matematika, Fisika, Inggris, Matematika, Fisika, Inggris",Literatur
"Sejarah, Sejarah, Kewarganegaraan, Inggris",IPS
"Olahraga, Inggris",IPS
"Olahraga, Olahraga",Seni
"Inggris, Inggris",MIPA
"Matematika, Inggris, Mandarin, Matematika, Inggris",IPS
"Akuntansi, Akuntansi",IPS
"Mandarin, Indonesia",Komputer 
"Matematika, Matematika",IPS
"Matematika, Matematika",IPS
"Biologi, Biologi",Komputer 
"Geografi, Matematika",IPS
"Matematika, Matematika",IPS
"Sejarah, Matematika",IPS
"Matematika, Matematika",MIPA
"Matematika, Matematika",MIPA
"Seni, Inggris, Seni, Inggris",Seni
"Fisika, Kimia",MIPA
"Matematika, Matematika",IPS
"Matematika, Fisika, Kimia, Biologi, Akuntansi, Matematika, Akuntansi",IPS
"Matematika , Matematika ",MIPA
"Inggris, Fisika, Biologi, Kimia",IPS
"Mandarin, Mandarin",Seni
"Matematika, Matematika",IPS
"Matematika, Fisika, Komputer, Mate, Fisika, Komputer",MIPA
"Matematika, Matematika",MIPA
"Olahraga, Olahraga",IPS
"Biologi, Fisika, Matematika, Kimia, Olahraga, Agama, Seni, Komputer, Indonesia, Mandarin, Seni, Agama, Ekonomi",Seni
"Inggris, Inggris",Komputer 
"Matematika, Fisika",MIPA
"Fisika, Fisika",MIPA
"Biologi, Ekonomi, Fisika",MIPA
"Olahraga, Inggris, Inggris",Komputer 
"Mandarin, Mandarin",IPS
"Biologi, Biologi",MIPA
"Matematika, Mate, Inggris",Komputer 
"Biologi, Biologi",Komputer 
"Inggris, Inggris, Geografi",MIPA
"Matematika, Matematika",IPS
"Seni, Seni",Seni
"Kimia, Inggris, Biologi, Kimia, Inggris, Biologi",MIPA
"Inggris, Inggris",IPS
"Matematika, Matematika",IPS
"Matematika , Seni",Seni
"Inggris, Mandarin",MIPA
"Ekonomi, Inggris",IPS
"Mandarin, Matematika, Biologi, Mandarin, Matematika",Literatur
"Inggris, Inggris",Literatur
"Kimia, Matematika",MIPA
"Akuntansi, Akuntansi",IPS
"Inggris, Seni Budaya, Jerman, Geografi, Inggris, Seni",Seni
